sound,date,starttime,endtime,pre,during,post,time_left_feeder,number,species,comments
bird,4/24/2023,18:07:40,18:08:12,feeding,feeding,feeding,na,1,house sparrow,
hawk,4/24/2023,18:11:23,18:11:55,feeding,feeding,feeding,na,1,house sparrow,
human,4/24/2023,18:19:14,18:19:47,na,na,na,na,0,na,
silent,4/24/2023,18:34:33,18:35:06,feeding,feeding,feeding,na,1,house sparrow,
dog,4/24/2023,18:39:41,18:40:14,na,na,na,na,0,na,
silent,4/24/2023,18:43:27,18:44:00,absent,absent,feeding,na,1,red-bellied woodpecker,arrived @22
human,4/24/2023,20:35:18,20:35:50,na,na,na,na,na,na,night
bird,4/24/2023,20:50:12,20:50:45,na,na,na,na,na,na,night
silent,4/24/2023,21:10:38,21:11:10,na,na,na,na,na,na,night
hawk,4/24/2023,21:19:55,21:20:27,na,na,na,na,na,na,night
human,4/25/2023,0:28:13,0:28:45,na,na,na,na,na,na,night
silent,4/25/2023,0:33:27,0:34:00,na,na,na,na,na,na,night
human,4/25/2023,1:31:33,1:32:05,na,na,na,na,na,na,night
dog,4/25/2023,1:41:31,1:42:04,na,na,na,na,na,na,night
human,4/25/2023,2:04:30,2:05:02,na,na,na,na,na,na,night
human,4/25/2023,2:08:12,2:08:45,na,na,na,na,na,na,night
bird,4/25/2023,2:34:32,2:35:04,na,na,na,na,na,na,night
hawk,4/25/2023,2:51:58,2:52:31,na,na,na,na,na,na,night
bird,4/25/2023,6:22:55,6:23:28,feeding,flies away,absent,7,1,house sparrow,
hawk,4/25/2023,6:26:37,6:27:10,feeding,flies away,absent,18,1,house sparrow,
bird,4/25/2023,6:30:35,6:31:08,feeding,flies away,absent,6,1,red-bellied woodpecker,
human,4/25/2023,6:36:07,6:36:40,feeding,feeding,feeding,na,1,red-bellied woodpecker,
silent,4/25/2023,6:41:05,6:41:38,feeding,feeding,absent,13,1,house sparrow,chased by red-bellied woodpecker @ 13
silent,4/25/2023,6:50:35,6:51:07,feeding,flies away,feeding,6,1,tufted tit-mouse,comes back @27
human,4/25/2023,6:59:09,6:59:42,feeding,flies away,absent,5,1,house finch,
silent,4/25/2023,7:02:42,7:03:15,feeding,flies away,absent,13,1,red-bellied woodpecker,
dog,4/25/2023,7:10:00,7:10:33,feeding,feeding,feeding,na,1,nuthatch,
bird,4/25/2023,7:24:05,7:24:38,feeding,feeding,feeding,na,1,house sparrow,
silent,4/25/2023,7:27:38,7:28:11,feeding,flies away,absent,7,1,house sparrow,
hawk,4/25/2023,7:31:17,7:31:50,feeding,flies away,absent,15,1,house sparrow,
hawk,4/25/2023,7:34:50,7:35:23,na,na,na,na,na,na,wind triggered
human,4/25/2023,7:42:07,7:42:40,na,na,na,na,na,na,wind triggered
bird,4/25/2023,7:46:35,7:47:08,na,na,na,na,na,na,wind triggered
hawk,4/25/2023,7:58:19,7:58:52,na,na,na,na,na,na,wind triggered
hawk,4/25/2023,8:03:55,8:04:28,feeding,feeding,feeding,na,1,red-bellied woodpecker,
human,4/25/2023,8:08:05,8:08:38,feeding,flies away,absent,4,1,cardinal,house sparrow arrives @16
silent,4/25/2023,8:11:43,8:12:16,feeding,flies away,absent,6,2,tufted tit-mouse,red-bellied woodpecker arrived @6
human,4/25/2023,8:16:08,8:16:40,na,na,na,na,na,na,seed refill
silent,4/25/2023,8:22:04,8:22:36,na,na,na,na,na,na,wind triggered
human,4/25/2023,8:29:13,8:29:46,na,na,na,na,na,na,wind triggered
silent,4/25/2023,8:33:35,8:34:08,na,na,na,na,na,na,wind triggered
bird,4/25/2023,8:37:35,8:38:07,feeding,flies away,absent,6,2,cardinal,nuthatch arrived @6
hawk,4/25/2023,8:41:27,8:42:00,na,na,na,na,na,na,wind triggered
bird,4/25/2023,8:47:44,8:48:17,na,na,na,na,na,na,wind triggered
human,4/25/2023,8:51:43,8:52:15,flies away,absent,absent,2,1,nuthatch,
bird,4/25/2023,8:55:24,8:55:57,flies away,absent,absent,2,1,nuthatch,
silent,4/25/2023,8:59:00,8:59:33,feeding,feeding,feeding,na,2,house sparrow,
hawk,4/25/2023,9:03:08,9:03:41,feeding,flies away,absent,11,1,red-bellied woodpecker,
dog,4/25/2023,9:06:41,9:07:14,feeding,flies away,absent,6,2,red-bellied woodpecker,nuthatch arrived @8
dog,4/25/2023,9:10:14,9:10:47,absent,flies away,absent,15,1,red-bellied woodpecker,tufted tit-mouse arrived @22
dog,4/25/2023,9:13:47,9:14:20,feeding,flies away,absent,17,1,red-bellied woodpecker,
bird,4/25/2023,9:17:21,9:17:54,feeding,flies away,absent,21,1,house sparrow,
human,4/25/2023,9:21:37,9:22:09,feeding,flies away,absent,8,1,house sparrow,nuthatch arrived @22
dog,4/25/2023,9:25:10,9:25:42,feeding,feeding,absent,25,1,red-bellied woodpecker,
bird,4/25/2023,9:28:46,9:29:19,feeding,flies away,absent,12,1,red-bellied woodpecker,nuthatch arrived @19
human,4/25/2023,9:32:19,9:32:53,feeding,feeding,feeding,na,1,house sparrow,
human,4/25/2023,9:35:54,9:36:26,feeding,flies away,absent,3,1,tufted tit-mouse,
dog,4/25/2023,9:40:03,9:40:36,feeding,feeding,feeding,na,1,house sparrow,
hawk,4/25/2023,9:46:34,9:47:07,feeding,feeding,feeding,na,1,house sparrow,
silent,4/25/2023,9:50:07,9:50:40,na,na,na,na,na,na,wind triggered
hawk,4/25/2023,9:57:40,9:58:13,feeding,flies away,absent,3,1,nuthatch,
human,4/25/2023,10:01:46,10:02:19,feeding,feeding,feeding,na,1,red-bellied woodpecker,
hawk,4/25/2023,10:05:19,10:05:52,feeding,flies away,absent,6,1,red-bellied woodpecker,
bird,4/25/2023,10:09:00,10:09:33,feeding,flies away,absent,3,1,red-bellied woodpecker,
dog,4/25/2023,10:17:38,10:18:11,na,na,na,na,na,na,wind triggered
